Date,SPY,QQQ,IWM,DIA,VTI,XLK,XLF,XLE,XLV,XLP,XLI,XLB,XLY,XLU,EFA,EEM,VEA,VWO,IEMG,TLT,IEF,SHY,TIP,LQD,HYG,BND,EMB,MUB,VCIT,VNQ,IYR,GLD,SLV,GSG,DBC,USO,DBA,PDBC,MTUM,VLUE,USMV,QUAL,BWX,IAGG
2018-01-02,236.56219482421875,150.22218322753906,138.8843994140625,211.9896240234375,121.4603500366211,29.872922897338867,23.884136199951172,25.74726104736328,72.72333526611328,45.31456756591797,66.25482177734375,25.99567413330078,46.27523422241211,20.13258171081543,55.60332107543945,39.98329544067383,35.2852668762207,36.59661865234375,46.33143997192383,99.45983123779297,86.68510437011719,70.0495834350586,88.66654205322266,90.04615783691406,56.386356353759766,63.719322204589844,78.27333068847656,89.98103332519531,64.74689483642578,60.17098617553711,64.20486450195312,125.1500015258789,16.209999084472656,16.3700008392334,14.11035442352295,96.55999755859375,16.306482315063477,8.680386543273926,94.4996109008789,67.98387145996094,45.579708099365234,74.05789947509766,25.398761749267578,41.613067626953125
2018-01-03,238.05844116210938,151.68177795410156,139.02879333496094,212.78456115722656,122.1633529663086,30.122093200683594,24.0124568939209,26.132858276367188,73.4191665649414,45.29853057861328,66.6117172241211,26.177759170532227,46.487701416015625,19.974424362182617,55.87023162841797,40.36640548706055,35.50361633300781,36.94927978515625,46.73883819580078,99.93533325195312,86.7757339477539,70.0495834350586,88.75225830078125,90.21028137207031,56.65756607055664,63.7741584777832,78.23970031738281,90.08682250976562,64.79893493652344,59.996337890625,64.10130310058594,124.81999969482422,16.170000076293945,16.540000915527344,14.194897651672363,98.72000122070312,16.29788589477539,8.729849815368652,95.44517517089844,68.06413269042969,45.67473602294922,74.58258819580078,25.292152404785156,41.56916046142578
2018-01-04,239.06178283691406,151.9471893310547,139.3987579345703,214.1948699951172,122.62911987304688,30.27436637878418,24.234878540039062,26.290607452392578,73.52355194091797,45.426761627197266,67.09912109375,26.406423568725586,46.640113830566406,19.808547973632812,56.4825439453125,40.5662727355957,35.82332992553711,37.17652893066406,46.9305534362793,99.91949462890625,86.7345199584961,70.01617431640625,88.7756118774414,90.18038940429688,56.75436019897461,63.742820739746094,78.44144439697266,89.89970397949219,64.78406524658203,58.962764739990234,63.097591400146484,125.45999908447266,16.229999542236328,16.540000915527344,14.177989959716797,98.95999908447266,16.272098541259766,8.734794616699219,96.2452392578125,68.44123077392578,45.85615921020508,74.92050170898438,25.36322021484375,41.6450080871582
2018-01-05,240.6549072265625,153.47320556640625,139.68756103515625,216.0068359375,123.34965515136719,30.592758178710938,24.30331039428711,26.280092239379883,74.1498031616211,45.62715148925781,67.56044006347656,26.618148803710938,47.009620666503906,19.800827026367188,56.79655456542969,40.916046142578125,35.994876861572266,37.50565719604492,47.32996368408203,99.63421630859375,86.6274642944336,70.01617431640625,88.76002502441406,90.15061950683594,56.793121337890625,63.65665817260742,78.48849487304688,89.89152526855469,64.73951721191406,58.99188995361328,63.16130828857422,125.33000183105469,16.219999313354492,16.399999618530273,14.127263069152832,98.4800033569336,16.186141967773438,8.700173377990723,97.01805114746094,68.75414276123047,46.08940505981445,75.40958404541016,25.345462799072266,41.70088577270508
2018-01-08,241.09498596191406,154.07034301757812,139.90414428710938,215.89581298828125,123.63088989257812,30.708112716674805,24.269086837768555,26.437833786010742,73.88017272949219,45.73933410644531,67.83897399902344,26.65626335144043,47.06504440307617,19.98599624633789,56.78085708618164,40.916046142578125,35.97928237915039,37.513492584228516,47.36192321777344,99.57076263427734,86.58626556396484,70.01617431640625,88.66654205322266,90.14310455322266,56.74791717529297,63.66448974609375,78.3473129272461,89.89970397949219,64.71722412109375,59.297569274902344,63.51979064941406,125.30999755859375,16.149999618530273,16.43000030517578,14.118809700012207,99.04000091552734,16.07439422607422,8.695226669311523,97.2907943725586,68.89055633544922,46.16716766357422,75.64079284667969,25.30992889404297,41.68492889404297
2018-01-09,241.64076232910156,154.07984924316406,139.71466064453125,216.94699096679688,123.8593521118164,30.629663467407227,24.45729637145996,26.371227264404297,74.74995422363281,45.675228118896484,68.27417755126953,26.613920211791992,47.15741729736328,19.78925895690918,56.84365463256836,40.84943389892578,36.01047897338867,37.50565719604492,47.25806427001953,98.23927307128906,86.17427825927734,69.99108123779297,88.37825012207031,89.81498718261719,56.573612213134766,63.47648239135742,78.10521697998047,89.8101577758789,64.53897857666016,58.53333282470703,62.78693771362305,124.7300033569336,16.030000686645508,16.579999923706055,14.21180534362793,100.55999755859375,16.10877799987793,8.7545804977417,97.65444946289062,68.8825454711914,46.193084716796875,75.87200927734375,25.229969024658203,41.517250061035156
2018-01-10,241.2710723876953,153.71961975097656,139.73268127441406,216.77606201171875,123.6659927368164,30.523542404174805,24.662595748901367,26.339677810668945,74.61949157714844,45.45082092285156,68.26545715332031,26.453004837036133,47.12507629394531,19.573240280151367,56.73375701904297,40.59126281738281,35.916908264160156,37.34109115600586,46.95450973510742,98.12039947509766,86.14962005615234,70.01617431640625,88.34709930419922,89.8746566772461,56.450927734375,63.48432540893555,77.8766098022461,89.63933563232422,64.59839630126953,57.878265380859375,62.02219772338867,125.02999877929688,16.020000457763672,16.639999389648438,14.262534141540527,101.44000244140625,16.048606872558594,8.789202690124512,97.55445861816406,68.89055633544922,45.968475341796875,75.729736328125,25.37211799621582,41.573150634765625
2018-01-11,243.0314483642578,154.771728515625,142.13316345214844,218.47702026367188,124.71171569824219,30.648120880126953,24.782360076904297,26.8795108795166,74.9413070678711,45.38670349121094,69.13587188720703,26.80023193359375,47.891807556152344,19.499942779541016,57.12627410888672,40.841102600097656,36.150840759277344,37.584022521972656,47.29002380371094,98.52459716796875,86.20726013183594,69.99108123779297,88.25360107421875,90.09092712402344,56.63816452026367,63.48432540893555,77.97745513916016,89.6718521118164,64.62805938720703,57.68174362182617,61.80712127685547,125.44000244140625,16.010000228881836,16.68000030517578,14.254079818725586,101.5999984741211,15.988433837890625,8.789202690124512,98.21813201904297,69.7410659790039,46.106689453125,76.12992858886719,25.407651901245117,41.517250061035156
2018-01-12,244.61570739746094,155.90914916992188,142.728759765625,220.44284057617188,125.44105529785156,30.828075408935547,25.004772186279297,27.138914108276367,75.5153579711914,45.40273666381836,69.77997589111328,26.84258270263672,48.510704040527344,19.38806915283203,57.69932174682617,41.232521057128906,36.49394989013672,37.983680725097656,47.76131820678711,98.6910400390625,86.14962005615234,69.98272705078125,88.33929443359375,90.10580444335938,56.541324615478516,63.47648239135742,78.09178161621094,89.54168701171875,64.6058349609375,57.215946197509766,61.3052864074707,126.95999908447266,16.270000457763672,16.799999237060547,14.347075462341309,102.95999908447266,15.954050064086914,8.853500366210938,99.15461730957031,70.27062225341797,46.244911193847656,76.68124389648438,25.5853214263916,41.613067626953125
2018-01-16,243.77955627441406,155.4636688232422,140.9058380126953,220.35752868652344,124.887451171875,30.708112716674805,24.93634033203125,26.79538345336914,75.88938903808594,45.61110305786133,69.15328216552734,26.52922248840332,48.164302825927734,19.34564208984375,57.64438247680664,41.07428741455078,36.454952239990234,37.79560470581055,47.50569534301758,99.10318756103516,86.1907958984375,69.97439575195312,88.48733520507812,90.1878662109375,56.509029388427734,63.523494720458984,78.09849548339844,89.56610107421875,64.59839630126953,57.32510757446289,61.472564697265625,127.16999816894531,16.25,16.709999084472656,14.279439926147461,102.08000183105469,15.936859130859375,8.799094200134277,98.93640899658203,70.00585174560547,46.210365295410156,76.41448211669922,25.674161911010742,41.56515884399414
